angulo,theta,phi
0.000000000,-13.168150946,-0.042778733
5.000000000,-14.434533501,-0.042720598
10.000000000,-14.090229782,-0.229639840
15.000000000,-13.900809508,-0.524459479
20.000000000,-13.804522645,-0.902308176
25.000000000,-13.748393003,-1.360232578
30.000000000,-13.735426731,-1.882070715
35.000000000,-13.859993056,-2.454257817
40.000000000,-14.108543509,-3.062741883
45.000000000,-14.458326586,-3.707540622
50.000000000,-14.917149728,-4.377998053
55.000000000,-15.547621545,-5.093413706
60.000000000,-16.242033615,-5.869085647
65.000000000,-16.900962397,-6.735517236
70.000000000,-17.312961490,-7.791225688
75.000000000,-17.351212373,-9.067831596
80.000000000,-17.010976146,-10.644957168
85.000000000,-16.544692343,-12.529879320
90.000000000,-16.260294272,-14.608731026
95.000000000,-16.246363753,-16.570071436
100.000000000,-16.577626953,-17.840345327
105.000000000,-17.272430432,-18.150473169
110.000000000,-18.266237225,-17.923058680
115.000000000,-19.375434590,-17.465828725
120.000000000,-20.553599489,-17.046452618
125.000000000,-21.583347351,-16.618552755
130.000000000,-22.405499215,-16.252250217
135.000000000,-23.220878726,-15.979263332
140.000000000,-24.232481905,-15.867340769
145.000000000,-25.383737763,-15.914673726
150.000000000,-26.332556844,-16.184495560
155.000000000,-26.280370611,-16.691911315
160.000000000,-24.606592805,-17.418050544
165.000000000,-22.706840932,-18.505014138
170.000000000,-20.907086259,-19.918380624
175.000000000,-19.560369027,-21.850490349
180.000000000,-18.463667426,-24.467750831
185.000000000,-17.657177441,-28.261290193
190.000000000,-17.106823852,-34.594568548
195.000000000,-16.865104733,-38.194849043
200.000000000,-16.954249919,-30.719739368
205.000000000,-17.450336054,-26.348464218
210.000000000,-18.167452809,-23.285637322
215.000000000,-19.275546003,-21.294844110
220.000000000,-20.816232735,-20.048460472
225.000000000,-22.654612727,-19.305048665
230.000000000,-24.644561460,-19.026573001
235.000000000,-26.495312321,-19.064148286
240.000000000,-27.892893260,-19.148998622
245.000000000,-28.994295059,-19.043069950
250.000000000,-30.544650869,-18.358208252
255.000000000,-32.720284154,-17.138551960
260.000000000,-33.891052509,-15.681724060
265.000000000,-31.068935687,-14.211290921
270.000000000,-27.590830556,-12.838917164
275.000000000,-24.831006486,-11.581838478
280.000000000,-22.880505521,-10.435934604
285.000000000,-21.603547127,-9.357680861
290.000000000,-20.809157465,-8.324234218
295.000000000,-20.387929314,-7.329015629
300.000000000,-20.216658383,-6.376036523
305.000000000,-20.178833413,-5.461662397
310.000000000,-20.184688384,-4.586846246
315.000000000,-20.084743947,-3.760129983
320.000000000,-19.726742832,-2.988723501
325.000000000,-19.184106182,-2.309723644
330.000000000,-18.606740596,-1.710979505
335.000000000,-17.940038903,-1.185818006
340.000000000,-17.262069238,-0.743491408
345.000000000,-16.607960639,-0.398877527
350.000000000,-16.002203896,-0.146590857
355.000000000,-15.537298027,0.000000000
360.000000000,-13.856922489,-0.025651975
 
