angulo,theta,phi
0,-15.2234221708419,-43.3243977945383
1,-15.2063964828431,-41.9927460070133
2,-15.2016153377784,-40.5914299071628
3,-15.2106341484712,-39.170613812564
4,-15.2351589970526,-37.7631786080633
5,-15.277054878567,-36.389700263236
6,-15.3383520772076,-35.0622816270943
7,-15.4212483530259,-33.7873508563688
8,-15.5281028750226,-32.5676423279487
9,-15.6614149291321,-31.4035630515435
10,-15.8237755619288,-30.2941140227928
11,-16.017772164794,-29.2374990933172
12,-16.2458123884019,-28.2315198462372
13,-16.5098113272451,-27.2738267235953
14,-16.8106499384955,-26.3620750296339
15,-17.1472584953551,-25.4940187650062
16,-17.5151083829569,-24.6675643074297
17,-17.9038385035167,-23.880798502867
18,-18.2938123088918,-23.1320007367931
19,-18.6518975755315,-22.4196452417919
20,-18.9282085902741,-21.7423977144267
21,-19.0581208261152,-21.0991088824997
22,-18.9753086388962,-20.4888067288975
23,-18.6358879741802,-19.9106884711726
24,-18.0399281021975,-19.3641130055123
25,-17.2317833869659,-18.8485942768196
26,-16.2789288050177,-18.3637958857482
27,-15.2476555090796,-17.9095271579266
28,-14.1897061030318,-17.4857408607516
29,-13.1400506496202,-17.0925327470486
30,-12.1200804786167,-16.7301431259829
31,-11.141840039428,-16.3989607072077
32,-10.2115033519426,-16.0995290350459
33,-9.33178035625944,-15.8325559294138
34,-8.50345178993546,-15.5989264866624
35,-7.72630716716873,-15.3997203785883
36,-6.99970475728436,-15.2362344399178
37,-6.32290183694255,-15.1100118812834
38,-5.69524895803452,-15.0228799479152
39,-5.11630575616353,-14.9769985279171
40,-4.58591332740813,-14.9749231974305
41,-4.10424473247942,-15.0196876305721
42,-3.67184737444483,-15.1149124545133
43,-3.28968670009997,-15.2649509170822
44,-2.95919864004292,-15.4750868763387
45,-2.68235776443621,-15.7518088850553
46,-2.46176904071926,-16.1031978309796
47,-2.30079343107725,-16.5394890596151
48,-2.20372183635249,-17.0739117496199
49,-2.17601910707842,-17.7239864003614
50,-2.22467198882293,-18.5136149990394
51,-2.35869577642879,-19.4766206941659
52,-2.58989172744701,-20.6631225674501
53,-2.93401678294483,-22.1519374581162
54,-3.4126639413428,-24.077202406541
55,-4.05643920128759,-26.6930758787449
56,-4.91067652973014,-30.5509240156318
57,-6.0465880509404,-36.6526820779376
58,-7.58553255743826,-36.5887014808048
59,-9.76077770741743,-30.2517045291938
60,-13.1187582566422,-26.1627713196475
61,-19.5807652854967,-23.3247190571083
62,-31.9531391192264,-21.1844478168987
63,-15.7485815374079,-19.4880105444637
64,-10.0675138768674,-18.1022225286795
65,-6.46000511613504,-16.9495550530057
66,-3.77979823227807,-15.9813822055092
67,-1.63417721605883,-15.1655401522361
68,0.15896152231295,-14.4799503870355
69,1.69904167390056,-13.9090970771992
70,3.04629838923014,-13.4419671746214
71,4.23996773201575,-13.0707955632321
72,5.30700949047726,-12.7902823131987
73,6.26672163327037,-12.5971047907627
74,7.13336952696124,-12.4896276417569
75,7.91777388835959,-12.4677584702312
76,8.62831598961268,-12.5329249266076
77,9.27159905894059,-12.6881695811874
78,9.85289775065567,-12.9383786356816
79,10.3764720288223,-13.2906850467512
80,10.845791484727,-13.7551241671444
81,11.2636988050717,-14.3456855006237
82,11.6325308528115,-15.0820292030039
83,11.9542095396304,-15.9923941141223
84,12.2303107044413,-17.1188036732191
85,12.462116642855,-18.5271153093673
86,12.6506562255049,-20.3285295682502
87,12.7967353814456,-22.7329444198419
88,12.9009599126692,-26.2155262467087
89,12.9637520251745,-32.3174244767594
90,12.9853615321067,-61.8144201137184
91,12.9658723524983,-31.8059656982558
92,12.9052046581371,-25.9615765110308
93,12.8031127834703,-22.5656243783104
94,12.6591787865528,-20.2051522923616
95,12.4728013117059,-18.4306360940759
96,12.2431791341569,-17.0407324976644
97,11.9692884359441,-15.9279143118828
98,11.6498524340463,-15.0281676420162
99,11.2833014035096,-14.300500092172
100,10.8677203318767,-13.7172985247981
101,10.4007802852885,-13.2593084839776
102,9.87964786856607,-12.9128191689799
103,9.30086460659588,-12.6679974380659
104,8.66018413351446,-12.5178654613193
105,7.95234883359332,-12.4576634453915
106,7.17077739340573,-12.4844589593555
107,6.30711755029734,-12.5969276164574
108,5.35058824290202,-12.7952663542591
109,4.28698033077802,-13.0812246754993
110,3.09707902538368,-13.458258924372
111,1.7540539910003,-13.9318358175713
112,0.218883607675149,-14.5099405041499
113,-1.56828246200921,-15.2038916877106
114,-3.70609881540649,-16.0296518623439
115,-6.37487320915682,-17.009988229667
116,-9.96193787774391,-18.178193514403
117,-15.5871480437461,-19.5848871715474
118,-30.7865637667373,-21.3114735416398
119,-19.6049774371391,-23.4997302986466
120,-13.1035901075865,-26.4266815920875
121,-9.72729831515901,-30.7286613854286
122,-7.54094840658276,-37.7657973961687
123,-5.99392826672308,-36.7803021414226
124,-4.85145070905698,-30.3695438326739
125,-3.99147753274888,-26.5380035461976
126,-3.34244617006377,-23.9532580869224
127,-2.85882170272521,-22.0514496326471
128,-2.50987269114541,-20.5803319092056
129,-2.2739218690911,-19.4076934816985
130,-2.13515172988905,-18.4559727088038
131,-2.08171457386315,-17.6758472592827
132,-2.10455718955362,-17.0340130685534
133,-2.19665997554227,-16.5069185951468
134,-2.3525280241207,-16.0772886510252
135,-2.56784162442957,-15.7320718918646
136,-2.83921114343707,-15.4611663545168
137,-3.164002276155,-15.2565946353847
138,-3.54020988283187,-15.1119512776005
139,-3.96636590750204,-15.0220215543679
140,-4.44147120571819,-14.9825118738771
141,-4.96494354515948,-14.9898550443986
142,-5.53657507886726,-15.0410670648798
143,-6.15649235650671,-15.1336402154415
144,-6.82511024074233,-15.2654622712012
145,-7.54306736201677,-15.4347548931843
146,-8.31112387021172,-15.6400263681708
147,-9.12999031813026,-15.8800352897382
148,-10.0000364772352,-16.1537627456245
149,-10.9207963160888,-16.4603912565894
150,-11.890135338946,-16.7992891971831
151,-12.9028784531284,-17.1699997826868
152,-13.9486314137127,-17.5722339709258
153,-15.0085556373785,-18.0058668310525
154,-16.0512263970643,-18.4709370934416
155,-17.0289097751154,-18.9676497295434
156,-17.8779934935745,-19.4963815282803
157,-18.5293804169133,-20.0576897442961
158,-18.9309642233226,-20.6523239995215
159,-19.0714008636349,-21.2812417284795
160,-18.9857210923649,-21.9456275741894
161,-18.7374225121585,-22.6469172693118
162,-18.3931931521697,-23.3868266790259
163,-18.006858234215,-24.1673868386007
164,-17.6152683147788,-24.9909859858938
165,-17.2408191618941,-25.860419754831
166,-16.895684300169,-26.7789508316364
167,-16.585499510065,-27.7503794214667
168,-16.3119760105642,-28.7791257109062
169,-16.0745852855311,-29.8703249137471
170,-15.8715915717984,-31.0299340220017
171,-15.7006654651741,-32.2648462420629
172,-15.5592402274221,-33.5830027758866
173,-15.4447137130904,-34.9934793605742
174,-15.3545589558853,-36.5065018895931
175,-15.2863813056895,-38.1333030615832
176,-15.2379446827552,-39.8856568781219
177,-15.2071803177206,-41.7748010833682
178,-15.1921858545328,-43.8092564015629
179,-15.1912194149086,-45.9907285820117
180,-15.2026912608119,-48.306525228476
181,-15.2251545130355,-50.7136956000786
182,-15.2572956741813,-53.095152934358
183,-15.2979252765556,-55.1258328398156
184,-15.3459687190642,-56.0631473641633
185,-15.4004572063836,-55.2159282225077
186,-15.4605186195088,-53.0576146348533
187,-15.5253681062119,-50.5025389009846
188,-15.5942981696107,-48.0062068092507
189,-15.6666680454081,-45.7007483300122
190,-15.7418921895783,-43.6047715242074
191,-15.8194277468836,-41.7043311108128
192,-15.8987609368665,-39.9781066539541
193,-15.9793923794269,-38.4049804028265
194,-16.0608214893046,-36.966157726892
195,-16.1425302008912,-35.6455391187448
196,-16.2239664448349,-34.4295369847799
197,-16.3045279876866,-33.3067429441816
198,-16.3835474640671,-32.2675861704858
199,-16.4602796705284,-31.3040283913324
200,-16.5338924354114,-30.4093061614307
201,-16.6034626008922,-29.5777184125803
202,-16.6679788077568,-28.8044533290231
203,-16.7263527996541,-28.0854479791718
204,-16.7774407887531,-27.4172747246002
205,-16.8200759747858,-26.7970493631745
206,-16.853112529145,-26.2223569085242
207,-16.875480236336,-25.6911917451571
208,-16.8862475944164,-25.2019096004613
209,-16.884689679097,-24.7531893501774
210,-16.8703557319997,-24.3440031431915
211,-16.8431305559943,-23.9735937175913
212,-16.8032836813709,-23.6414581045879
213,-16.7515010790336,-23.3473372000066
214,-16.6888959137636,-23.0912109430559
215,-16.6169971968912,-22.873299097168
216,-16.5377177800099,-22.6940678973646
217,-16.4533054339233,-22.5542431357949
218,-16.3662823620856,-22.4548306313269
219,-16.2793791749812,-22.3971455109638
220,-16.1954690974172,-22.3828523792854
221,-16.117507180581,-22.4140193557991
222,-16.0484778336649,-22.4931902570402
223,-15.9913523694566,-22.6234811112455
224,-15.9490566971676,-22.8087100814922
225,-15.9244479060491,-23.0535743526475
226,-15.9202972595483,-23.363894680528
227,-15.9392759494465,-23.7469600449593
228,-15.9839386350537,-24.2120248277131
229,-16.0566980114817,-24.7710462843823
230,-16.1597809968838,-25.4398155197332
231,-16.2951530353185,-26.2397629652997
232,-16.4643907291917,-27.2009853448535
233,-16.6684736340396,-28.3676396212153
234,-16.9074527517689,-29.8083342250877
235,-17.1799362080218,-31.6383278092745
236,-17.4823153832667,-34.0743126454632
237,-17.8076501702295,-37.6023490297894
238,-18.1441733594147,-43.7130441970139
239,-18.4735307420638,-52.8630839268966
240,-18.7692499503596,-41.8073115548987
241,-18.9965791086772,-36.4604661996367
242,-19.1154668397326,-33.1649370619949
243,-19.0880690370889,-30.8119898670764
244,-18.8895519425004,-29.007203444466
245,-18.5170565784876,-27.5668368635081
246,-17.9909141051249,-26.3909762815836
247,-17.3472265643788,-25.4196705370301
248,-16.6269265757164,-24.6144891358025
249,-15.8671565809999,-23.9496764256751
250,-15.0972069011207,-23.4074901082171
251,-14.3380616015,-22.9755707223486
252,-13.603726291735,-22.6453845573221
253,-12.9030073869225,-22.4112772816532
254,-12.2411069999482,-22.2699010695275
255,-11.6208455584584,-22.2198899923737
256,-11.0435266932246,-22.2617195121482
257,-10.5095214741056,-22.3977239563041
258,-10.0186518383577,-22.6322752364993
259,-9.57043717212344,-22.9721565431429
260,-9.16425018526711,-23.4272066378266
261,-8.79941367589069,-24.0113802566826
262,-8.47525923208174,-24.7445017287542
263,-8.19116168644462,-25.6552601847232
264,-7.94655832332698,-26.7866058926999
265,-7.74095868003332,-28.2062345266471
266,-7.57394872638184,-30.0292047418049
267,-7.44519187075564,-32.4746698410276
268,-7.35442837212293,-36.0462446356039
269,-7.30147417047749,-42.433849500119
270,-7.28621977442289,-61.9071517418914
271,-7.30862959280603,-40.8513949467633
272,-7.36874191918797,-35.2528059531366
273,-7.46666963918455,-31.9422516169226
274,-7.60260160432194,-29.6261364473776
275,-7.77680447732233,-27.879860647013
276,-7.98962467564013,-26.5105811204039
277,-8.24148978817881,-25.414504336802
278,-8.53290846597104,-24.5295591422965
279,-8.86446721921793,-23.8159122167303
280,-9.23682168078375,-23.2467364275485
281,-9.65067855142006,-22.8033835015892
282,-10.1067623659565,-22.4726729773398
283,-10.6057580208045,-22.2452912091162
284,-11.148215105743,-22.1148176999849
285,-11.7343926903645,-22.0771322345058
286,-12.3640123613016,-22.1300724976405
287,-13.0358722037836,-22.2732744727124
288,-13.7472556354144,-22.5081660792015
289,-14.4930516069178,-22.8381128881659
290,-15.2645035429637,-23.2687427506385
291,-16.0475658251895,-23.8085130035977
292,-16.8210527161453,-24.4696434667881
293,-17.5552292475913,-25.2696479020688
294,-18.2122263451569,-26.2339171380734
295,-18.7502022567153,-27.4002911215853
296,-19.1322741698894,-28.8277278628947
297,-19.3378782364108,-30.6143745844489
298,-19.3704045171642,-32.9406264519199
299,-19.2557693045991,-36.1946432704186
300,-19.0329773079437,-41.4899986240761
301,-18.7429460586287,-54.8431520226528
302,-18.4208917094515,-44.3899560086961
303,-18.0934256665124,-37.7937609799599
304,-17.7788413021645,-34.1385673442121
305,-17.4887450757106,-31.6432108222885
306,-17.2298757192985,-29.7771856445249
307,-17.0056278437743,-28.3109190865332
308,-16.8171760855472,-27.1240921326016
309,-16.6642489977242,-26.1457094583538
310,-16.545639382195,-25.3303391401748
311,-16.4595306015904,-24.6471376555685
312,-16.4036997978453,-24.0742037660777
313,-16.3756412424822,-23.595430290794
314,-16.3726395069129,-23.19863521169
315,-16.3918127222013,-22.8743951618754
316,-16.430139955351,-22.6152868109677
317,-16.4844826727524,-22.4153763916208
318,-16.5516075765873,-22.2698662135264
319,-16.6282161641198,-22.174843895036
320,-16.7109847097864,-22.1271008081015
321,-16.7966166800482,-22.1239983953648
